COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;COD_GRUPO;Desc Grupo;
022462;ARM I4G2-160 ACAI CBG/PTO LC MOD1/2 MOD.2/2;;05;0503;050301;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA COZINHA COMPACTA;1000;MOVEIS;
022463;ARM IPHMNCH-120 BLUES PTO;;05;0503;050303;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA ARMARIO;1000;MOVEIS;
022464;ARM IPH-70 BLUES PTOLC;;05;0503;050303;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA ARMARIO;1000;MOVEIS;
022465;ARM IPLDFNO-70 BLUES 2VOL CVSLC;;05;0503;050304;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA PANELEIRO;1000;MOVEIS;
022466;ARM IPLDA-70 PRF BLUES 2VOL CVSLC;;05;0503;050304;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA PANELEIRO;1000;MOVEIS;
022467;ARM IG3G2-120 BLUES CVSLC;;05;0503;050302;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA BALCAO;1000;MOVEIS;
022468;SMARTPHONE SAMSUNG GAL J7 J710 METAL DB DOURA;;02;0201;020101;CELULAR;CELULAR SMARTPHONE;CELULAR SMARTPHONE SMARTPHONE;1002;CELULAR;
022469;TABLET NB221 MINI MS50 3G.QUAD.CORE BR MOST.;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022470;TABLET NB224 M7 3G QUAD.CORE 7P 2CHIPS BR MOS;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022471;TABLET NB226 MINI MS40 4,QUAD.CORE PT MOST.;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022472;TABLET NB231 MINI MS60 QUAD.CORE DOUR.MOST.;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022473;TABLET NB234 MINI MS45 S 4,5 QUAD.CORE PT MOS;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022474;POLTRONA SABRINA CROM.TAP.1821/FE SMP;;05;0502;050202;MOVEIS;MOVEIS SALA DE ESTAR;MOVEIS SALA DE ESTAR POLTRONA;1000;MOVEIS;
022475;SMARTPHONE MOTOROLA MOTO G3 1543 8GB DB PRETO;;02;0201;020101;CELULAR;CELULAR SMARTPHONE;CELULAR SMARTPHONE SMARTPHONE;1002;CELULAR;
022476;CELULAR IPRO I3200 DB PRETO;;02;0202;020202;CELULAR;CELULAR CELULAR;CELULAR CELULAR CELULAR;1002;CELULAR;
022477;CELULAR IPRO I3200 DB ROSA;;02;0202;020202;CELULAR;CELULAR CELULAR;CELULAR CELULAR CELULAR;1002;CELULAR;
022478;CELULAR IPRO I3200 DB AZUL;;02;0202;020202;CELULAR;CELULAR CELULAR;CELULAR CELULAR CELULAR;1002;CELULAR;
022479;NOTEBOOK 4G 500 X451CA BRAL VX155H;;01;0103;010301;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA NOTEBOOK;1008;INFORMATICA;
022480;COLCHOBOX UNISEL 138X188X25 PRETO;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022481;COLCHOBOX UNISEL 079X198X25 PRETO;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022482;COLCHOBOX UNISEL 088X188X25 PRETO;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022483;REFRIGERADOR NR-BB52PV2XB;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
022484;REFRIGERADOR NR-BT54PV1WB NO FROST 483L BCO;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
022485;REFRIGERADOR NR-BT47BD2WB NO FROST 435L BR;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
022486;REFRIGERADOR NR-BT47BD2XB NO FROST 435L ACO E;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
022487;CAB.BOX C/CRIADO LARINE 1,40 BR/BR LX;;05;0501;050108;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CABECEIRA;1000;MOVEIS;
022488;CAB.BOX C/CRIADO LARINE 1,40 BR/PT LX;;05;0501;050108;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CABECEIRA;1000;MOVEIS;
022489;CAB.BOX C/CRIADO LARINE 1,40 CARV.B/PT LX;;05;0501;050108;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CABECEIRA;1000;MOVEIS;
022490;CAB.BOX C/CRIADO LARINE 1,40 PT/CARV.B LX;;05;0501;050108;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CABECEIRA;1000;MOVEIS;
022491;CAB.BOX C/CRIADO LARINE 1,40 AV/NG LX;;05;0501;050108;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO CABECEIRA;1000;MOVEIS;
022492;COLCHAO GAZIN DANIEL SILVER 0,88X1,88X32CM;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022493;COLCHAO GAZIN DANIEL GOLD 0,88X1,88X34CM PK;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022494;BASE SUEDE AMASSA CINZA 0,88X1,88X27CM;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022495;COLCHAO GAZIN DANIEL SILVER 1,38X1,88X32CM;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022496;COLCHAO GAZIN DANIEL GOLD 1,38X1,88X34CM PK;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022497;BASE SUEDE AMASSA CINZA 1,38X1,88X27CM;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022498;COLCHAO GAZIN DANIEL SILVER 1,58X1,98X32CM;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022499;COLCHAO GAZIN DANIEL GOLD 1,58X1,98X34CM PK;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022500;BASE SUEDE AMASSA CINZA 0,79X1,98X27CM;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022501;COLCHAO GAZIN DANIEL SILVER 1,93X2,03X32CM;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022502;COLCHAO GAZIN DANIEL GOLD 1,93X2,03X34CM PK;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022503;BASE SUEDE AMASSA CHUMBO LISA 0,96X2,03X27CM;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022504;TABLET NB232 MINI MS 55 PRETO;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022505;TABLET NB233 MINI MS 55 BRANCO;;01;0103;010305;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA TABLET;1008;INFORMATICA;
022506;ROTEADOR RE057 150MBPS 1 ANT.4PTS.LAN;;01;0103;010308;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA ROTEADOR;1008;INFORMATICA;
022507;ROTEADOR RE085 DUAL BAND 750MBPS 11AC;;01;0103;010308;TECNOLOGIA;TECNOLOGIA INFORMATICA;TECNOLOGIA INFORMATICA ROTEADOR;1008;INFORMATICA;
022508;REFRIGERADOR 2P RT38K5430SL/BZ FF 384 INOX;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
022509;REFRIGERADOR 2P RT46K6361SL/BZ FF 453L INOX;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
022510;REFRIGERADOR 2P RT46K6341WW/BZ FF 453L BRANCO;;03;0301;030104;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO REFRIGERADOR;1001;ELETRODOMESTICOS;
