,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
86,2016-09-01,9.896647442825858,4.836624229344281,17.912498620256393,9.896647442825858,9.896647442825858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4593466718408328,1.4593466718408328,1.4593466718408328,0.0,0.0,0.0,1.4593466718408328,1.4593466718408328,1.4593466718408328,0.0,0.0,0.0,11.35599411466669
87,2016-09-08,10.038955279654346,1.6875027843767065,15.381017101793399,10.038955279654346,10.038955279654346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6785170631759714,-1.6785170631759714,-1.6785170631759714,0.0,0.0,0.0,-1.6785170631759714,-1.6785170631759714,-1.6785170631759714,0.0,0.0,0.0,8.360438216478375
88,2016-09-15,10.181263116482837,-1.3152912111590052,11.98604907065825,10.181263116482837,10.181263116482837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.705906547857103,-4.705906547857103,-4.705906547857103,0.0,0.0,0.0,-4.705906547857103,-4.705906547857103,-4.705906547857103,0.0,0.0,0.0,5.475356568625734
89,2016-09-22,10.323570953311327,-1.7672967339772947,10.844695208904406,10.323570953311327,10.323570953311327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.351703244784761,-5.351703244784761,-5.351703244784761,0.0,0.0,0.0,-5.351703244784761,-5.351703244784761,-5.351703244784761,0.0,0.0,0.0,4.971867708526566
90,2016-09-29,10.4658787915371,0.39998009204295887,13.211551391950715,10.4658787915371,10.4658787915371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.240687705718612,-3.240687705718612,-3.240687705718612,0.0,0.0,0.0,-3.240687705718612,-3.240687705718612,-3.240687705718612,0.0,0.0,0.0,7.225191085818489
91,2016-10-06,10.608186629762876,6.819001245742918,20.108487517616847,10.608186629762876,10.608186629762876,0.0,0.0,0.0,0.0,0.0,0.0,3.576270591795673,3.576270591795673,3.576270591795673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.059705943806491,3.059705943806491,3.059705943806491,3.576270591795673,3.576270591795673,3.576270591795673,-0.516564647989182,-0.516564647989182,-0.516564647989182,0.0,0.0,0.0,13.667892573569368
92,2016-10-13,10.75049446798865,3.5674634018332143,17.41821196730061,10.75049446798865,10.75049446798865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11420432259490372,0.11420432259490372,0.11420432259490372,0.0,0.0,0.0,0.11420432259490372,0.11420432259490372,0.11420432259490372,0.0,0.0,0.0,10.864698790583555
93,2016-10-20,10.892802306214428,2.401270481356347,15.225593855380348,10.892802306214428,10.892802306214428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0180311629859236,-2.0180311629859236,-2.0180311629859236,0.0,0.0,0.0,-2.0180311629859236,-2.0180311629859236,-2.0180311629859236,0.0,0.0,0.0,8.874771143228504
94,2016-10-27,11.035110147435846,-0.5600439747275688,12.748842863935165,11.035110147435846,11.035110147435846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9541304742928975,-4.9541304742928975,-4.9541304742928975,0.0,0.0,0.0,-4.9541304742928975,-4.9541304742928975,-4.9541304742928975,0.0,0.0,0.0,6.080979673142949
95,2016-11-03,11.177417988657268,-1.2035329396720231,11.894820997440258,11.177417988657268,11.177417988657268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.038272604910993,-6.038272604910993,-6.038272604910993,0.0,0.0,0.0,-6.038272604910993,-6.038272604910993,-6.038272604910993,0.0,0.0,0.0,5.139145383746275
