COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
RHC00707;CAMISA 109 MAS   EQ LOJA   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00708;CAMISA 109 MAS  EQ LOJA   EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00709;CAMISA 109 MAS  EQ LOJA   EXGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00901;CAMISA 113 MAS   GER LOJ CORP   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00902;CAMISA 113 MAS   GER LOJ CORP   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00903;CAMISA 113 MAS   GER LOJ CORP   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00904;CAMISA 113 MAS   GER LOJ CORP   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00905;CAMISA 113 MAS   GER LOJ CORP   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00906;CAMISA 113 MAS   GER LOJ CORP   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00907;CAMISA 113 MAS   GER LOJ CORP   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00908;CAMISA 113 MAS   GER LOJ CORP   EXGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00909;CAMISA 113 MAS   GER LOJ CORP  EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00A02;CAMISA 102 FEM   ADM DEP COORD   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00B02;CAMISA 106 FEM   SERV GER   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00B03;CAMISA 106 FEM   SERV GER   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00B04;CAMISA 106 FEM   SERV GER   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
