,ENTREGA,CHIP CLARO ODA 128KB TRIPE,GE1 ELETROPORTATEIS,CHIP VIVO 4G 128K P19 HRS PRE,GE2 CELULAR,CHIP OI 4G 128KB,GE1 CELULAR,CHIP TIM INFINITY PRE HRD TRIPLO 4G,VENTILADOR 30 NV-15 3P BR 220V,CHIP TIM INFINITY PRE DUPLO 4G HDR NACIONAL
2015-11-11,4.0,0.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,6.0
2015-11-12,5.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,6.0
2015-11-13,5.0,0.0,0.0,4.0,1.0,8.0,2.0,0.0,0.0,2.0
2015-11-14,3.0,0.0,4.0,4.0,4.0,6.0,3.0,0.0,0.0,4.0
2015-11-16,1.0,0.0,4.0,7.0,5.0,8.0,4.0,0.0,2.0,3.0
2015-11-17,3.0,0.0,2.0,1.0,7.0,12.0,5.0,0.0,2.0,7.0
2015-11-18,1.0,0.0,4.0,0.0,4.0,5.0,1.0,0.0,1.0,3.0
2015-11-19,1.0,0.0,11.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0
2015-11-20,4.0,0.0,5.0,2.0,4.0,5.0,2.0,0.0,0.0,5.0
2015-11-21,2.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
2015-11-23,5.0,0.0,10.0,5.0,4.0,6.0,3.0,0.0,3.0,5.0
2015-11-24,6.0,0.0,9.0,2.0,4.0,6.0,0.0,0.0,6.0,6.0
2015-11-25,13.0,0.0,11.0,2.0,3.0,7.0,2.0,0.0,10.0,1.0
